yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;yolcu_sayisi
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BOSTANCI;2215;5505
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eminönü - Üsküdar;161802;246999
2025;1;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;Çubuklu Arabalı;11238;27372
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BURGAZADA;7664;17633
2025;1;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;İstinye Cubuklu;12302;30242
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;YENİ KABATAŞ;55219;110182
2025;1;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Eminönü;137029;213678
2025;1;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Kabataş Ahşap İskele;1775;2438
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bebek;7094;11867
2025;1;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;;2;2
2025;1;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Heybelıada;4729;12922
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Büyükdere;2579;3676
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY YENI;181428;314211
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bostancı;12228;24821
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kanlıca;2834;4765
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ortaköy;11302;17087
2025;1;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Beykoz;8385;22793
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Balat;3622;5690
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sarıyer;13645;25565
2025;1;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Karaköy;66724;144091
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BARBAROS;105722;160658
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU BOGAZ;62881;117113
2025;1;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Sirkeci-Harem;13329;24347
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KINALIADA;5409;11804
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Karaköy;15726;21917
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kandilli;637;1658
2025;1;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Eskihisar;5347;10357
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Hasköy;8733;16217
2025;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;;7689;13963
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Üsküdar;134616;216702
2025;2;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Topçular;4182;8130
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beşiktaş;12810;18994
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Aşiyan;15597;37777
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;YENİ KABATAŞ;37859;77802
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;;4633;9275
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Rumeli Kavağı;1175;2120
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Hisarı;5308;12582
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bebek;3946;6994
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bostancı;8736;18862
2025;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Kınalıada;2554;7347
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BESIKTAS;7947;16448
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BUYUKADA;22992;49699
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Küçüksu;6321;19350
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kasımpaşa;13001;26017
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY YENI;122683;221035
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU KADIKOY;90975;142519
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Paşabahçe;842;2899
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çubuklu;408;626
